io.github.adnanomerovic:toaster-example-library;io.github.adnanomerovic;toaster-example-library
de.huxhorn.lilith:de.huxhorn.lilith.logback.encoder.core;de.huxhorn.lilith;de.huxhorn.lilith.logback.encoder.core
de.huxhorn.lilith:de.huxhorn.lilith.sender;de.huxhorn.lilith;de.huxhorn.lilith.sender
de.huxhorn.lilith:de.huxhorn.lilith.log4j2.producer;de.huxhorn.lilith;de.huxhorn.lilith.log4j2.producer
de.huxhorn.lilith:de.huxhorn.lilith.logback.converter-classic;de.huxhorn.lilith;de.huxhorn.lilith.logback.converter-classic
de.huxhorn.lilith:de.huxhorn.lilith.data.converter;de.huxhorn.lilith;de.huxhorn.lilith.data.converter
de.huxhorn.lilith:de.huxhorn.lilith.logback.converter-access;de.huxhorn.lilith;de.huxhorn.lilith.logback.converter-access
de.huxhorn.lilith:de.huxhorn.lilith.prefs;de.huxhorn.lilith;de.huxhorn.lilith.prefs
de.huxhorn.lilith:de.huxhorn.lilith.data.access;de.huxhorn.lilith;de.huxhorn.lilith.data.access
de.huxhorn.lilith:de.huxhorn.lilith.data.corpus;de.huxhorn.lilith;de.huxhorn.lilith.data.corpus
de.huxhorn.lilith:de.huxhorn.lilith.log4j.xml;de.huxhorn.lilith;de.huxhorn.lilith.log4j.xml
de.huxhorn.lilith:de.huxhorn.lilith.data.logging-json-serializer;de.huxhorn.lilith;de.huxhorn.lilith.data.logging-json-serializer
de.huxhorn.lilith:de.huxhorn.lilith.logback.appender.multiplex-classic-xml;de.huxhorn.lilith;de.huxhorn.lilith.logback.appender.multiplex-classic-xml
de.huxhorn.lilith:de.huxhorn.lilith.tracing;de.huxhorn.lilith;de.huxhorn.lilith.tracing
de.huxhorn.lilith:de.huxhorn.lilith.constants;de.huxhorn.lilith;de.huxhorn.lilith.constants
de.huxhorn.sulky:de.huxhorn.sulky.codec.filebuffer;de.huxhorn.sulky;de.huxhorn.sulky.codec.filebuffer
de.huxhorn.sulky:de.huxhorn.sulky.generics;de.huxhorn.sulky;de.huxhorn.sulky.generics
de.huxhorn.sulky:de.huxhorn.sulky.logging;de.huxhorn.sulky;de.huxhorn.sulky.logging
de.huxhorn.sulky:de.huxhorn.sulky.ulid;de.huxhorn.sulky;de.huxhorn.sulky.ulid
de.huxhorn.sulky:de.huxhorn.sulky.stax;de.huxhorn.sulky;de.huxhorn.sulky.stax
de.huxhorn.sulky:de.huxhorn.sulky.groovy;de.huxhorn.sulky;de.huxhorn.sulky.groovy
de.huxhorn.sulky:de.huxhorn.sulky.io;de.huxhorn.sulky;de.huxhorn.sulky.io
de.huxhorn.sulky:de.huxhorn.sulky.version;de.huxhorn.sulky;de.huxhorn.sulky.version
de.huxhorn.sulky:de.huxhorn.sulky.blobs;de.huxhorn.sulky;de.huxhorn.sulky.blobs
de.huxhorn.sulky:de.huxhorn.sulky.resources;de.huxhorn.sulky;de.huxhorn.sulky.resources
de.huxhorn.sulky:de.huxhorn.sulky.codec;de.huxhorn.sulky;de.huxhorn.sulky.codec
de.huxhorn.sulky:de.huxhorn.sulky.swing;de.huxhorn.sulky;de.huxhorn.sulky.swing
de.huxhorn.sulky:de.huxhorn.sulky.buffers.filtering;de.huxhorn.sulky;de.huxhorn.sulky.buffers.filtering
de.huxhorn.sulky:de.huxhorn.sulky.sounds-api;de.huxhorn.sulky;de.huxhorn.sulky.sounds-api
de.huxhorn.sulky:de.huxhorn.sulky.junit;de.huxhorn.sulky;de.huxhorn.sulky.junit
de.huxhorn.sulky:de.huxhorn.sulky.buffers.table;de.huxhorn.sulky;de.huxhorn.sulky.buffers.table
de.huxhorn.sulky:de.huxhorn.sulky.sounds-impl-jlayer;de.huxhorn.sulky;de.huxhorn.sulky.sounds-impl-jlayer
de.huxhorn.sulky:de.huxhorn.sulky.tasks;de.huxhorn.sulky;de.huxhorn.sulky.tasks
de.huxhorn.sulky:de.huxhorn.sulky.formatting;de.huxhorn.sulky;de.huxhorn.sulky.formatting
de.huxhorn.sulky:de.huxhorn.sulky.buffers;de.huxhorn.sulky;de.huxhorn.sulky.buffers
de.huxhorn.sulky:de.huxhorn.sulky.plist;de.huxhorn.sulky;de.huxhorn.sulky.plist
de.huxhorn.sulky:de.huxhorn.sulky.conditions;de.huxhorn.sulky;de.huxhorn.sulky.conditions
com.github.v-play-games:bot-parent;com.github.v-play-games;bot-parent
com.github.mg0324:mango-admin-web;com.github.mg0324;mango-admin-web
com.github.mg0324:mango-admin;com.github.mg0324;mango-admin
com.github.mg0324:mango-admin-mybatis-plus;com.github.mg0324;mango-admin-mybatis-plus
com.github.mg0324:mango-admin-swagger;com.github.mg0324;mango-admin-swagger
com.github.mg0324:mango-admin-redis;com.github.mg0324;mango-admin-redis
com.github.mg0324:mango-admin-core;com.github.mg0324;mango-admin-core
io.github.scala-loci:retypecheck_2.11;io.github.scala-loci;retypecheck_2.11
io.github.scala-loci:retypecheck_2.12;io.github.scala-loci;retypecheck_2.12
io.github.scala-loci:retypecheck_2.13;io.github.scala-loci;retypecheck_2.13
com.gitee.pifeng:monitoring-client-core;com.gitee.pifeng;monitoring-client-core
com.gitee.pifeng:monitoring-common-core;com.gitee.pifeng;monitoring-common-core
com.gitee.pifeng:monitoring-client;com.gitee.pifeng;monitoring-client
com.gitee.pifeng:monitoring-common;com.gitee.pifeng;monitoring-common
com.gitee.pifeng:monitoring;com.gitee.pifeng;monitoring
com.gitee.pifeng:monitoring-client-spring-mvc-integrator;com.gitee.pifeng;monitoring-client-spring-mvc-integrator
com.gitee.pifeng:monitoring-client-spring-boot-starter;com.gitee.pifeng;monitoring-client-spring-boot-starter
com.gitee.pifeng:monitoring-common-web;com.gitee.pifeng;monitoring-common-web
io.github.xiao-organization:axios;io.github.xiao-organization;axios
com.arangodb:arangodb-spark-datasource;com.arangodb;arangodb-spark-datasource
com.davegurnell:unindent_2.12;com.davegurnell;unindent_2.12
com.davegurnell:unindent_2.13;com.davegurnell;unindent_2.13
com.davegurnell:unindent_3;com.davegurnell;unindent_3
com.jafpl:jafpl_2.13;com.jafpl;jafpl_2.13
org.benf:cfr;org.benf;cfr
io.github.hughsimpson:scalameter-core_2.11;io.github.hughsimpson;scalameter-core_2.11
io.github.hughsimpson:scalameter_2.13;io.github.hughsimpson;scalameter_2.13
io.github.hughsimpson:scalameter_3;io.github.hughsimpson;scalameter_3
io.github.hughsimpson:scalameter-core_2.12;io.github.hughsimpson;scalameter-core_2.12
io.github.hughsimpson:scalameter_2.11;io.github.hughsimpson;scalameter_2.11
io.github.hughsimpson:scalameter-core_2.13;io.github.hughsimpson;scalameter-core_2.13
io.github.hughsimpson:scalameter-core_3;io.github.hughsimpson;scalameter-core_3
io.github.hughsimpson:scalameter_2.12;io.github.hughsimpson;scalameter_2.12
org.kangspace.wechat:wechat-tools-lib;org.kangspace.wechat;wechat-tools-lib
com.github.mg0324:mango-admin-dependencies;com.github.mg0324;mango-admin-dependencies
com.marcnuri.yakc:quarkus-yakc-extension;com.marcnuri.yakc;quarkus-yakc-extension
com.marcnuri.yakc:quarkus-yakc-extension-parent;com.marcnuri.yakc;quarkus-yakc-extension-parent
com.marcnuri.yakc:quarkus-yakc-extension-deployment;com.marcnuri.yakc;quarkus-yakc-extension-deployment
com.github.skydoves:progressview;com.github.skydoves;progressview
io.github.over-run:glutils;io.github.over-run;glutils
org.seppiko.glf:glf-osgi;org.seppiko.glf;glf-osgi
ovh.lumen:NKcoreAPI;ovh.lumen;NKcoreAPI
io.github.sloppydaddy:wikifeet;io.github.sloppydaddy;wikifeet
io.fsq:rogue-types_2.11;io.fsq;rogue-types_2.11
com.ganshane.stark:stark-activerecord-generator_2.12;com.ganshane.stark;stark-activerecord-generator_2.12
com.ganshane.stark:stark-project_2.12;com.ganshane.stark;stark-project_2.12
com.ganshane.stark:stark-activerecord-macro_2.12;com.ganshane.stark;stark-activerecord-macro_2.12
com.ganshane.stark:stark-activerecord_2.12;com.ganshane.stark;stark-activerecord_2.12
com.ganshane.stark:stark-utils_2.12;com.ganshane.stark;stark-utils_2.12
com.ganshane.stark:stark-migration_2.12;com.ganshane.stark;stark-migration_2.12
com.microsoft.azure:azure-data-lake-store-sdk;com.microsoft.azure;azure-data-lake-store-sdk
com.kount:sdk-integration-tests;com.kount;sdk-integration-tests
org.wso2.am.choreo.connect:mock-backend-server;org.wso2.am.choreo.connect;mock-backend-server
org.wso2.am.choreo.connect:integration;org.wso2.am.choreo.connect;integration
org.wso2.am.choreo.connect:org.wso2.choreo.connect.enforcer;org.wso2.am.choreo.connect;org.wso2.choreo.connect.enforcer
org.wso2.am.choreo.connect:org.wso2.choreo.connect.enforcer.commons;org.wso2.am.choreo.connect;org.wso2.choreo.connect.enforcer.commons
org.wso2.am.choreo.connect:enforcer-parent;org.wso2.am.choreo.connect;enforcer-parent
org.wso2.am.choreo.connect:adapter;org.wso2.am.choreo.connect;adapter
org.wso2.am.choreo.connect:router;org.wso2.am.choreo.connect;router
org.wso2.am.choreo.connect:choreo-connect-parent;org.wso2.am.choreo.connect;choreo-connect-parent
com.brettonw:pom;com.brettonw;pom
de.florian-moehle:stream-utils;de.florian-moehle;stream-utils
es.weso:document_2.12;es.weso;document_2.12
es.weso:document_2.13;es.weso;document_2.13
es.weso:document_3;es.weso;document_3
com.cinetpay:androidsdk;com.cinetpay;androidsdk
de.energiequant.common:webdataretrieval;de.energiequant.common;webdataretrieval
net.andreinc:mockneat;net.andreinc;mockneat
com.blockpointdb:mdb-jdbc;com.blockpointdb;mdb-jdbc
net.marvk.fs:vatsim-api;net.marvk.fs;vatsim-api
net.ymate.platform:ymate-platform-persistence;net.ymate.platform;ymate-platform-persistence
net.ymate.platform:ymate-platform-log-slf4j;net.ymate.platform;ymate-platform-log-slf4j
net.ymate.platform:ymate-platform-log-jcl;net.ymate.platform;ymate-platform-log-jcl
net.ymate.platform:ymate-platform-parent;net.ymate.platform;ymate-platform-parent
io.gitlab.mateuszjaje:gitlab4s-tmp-sttp-try_2.12;io.gitlab.mateuszjaje;gitlab4s-tmp-sttp-try_2.12
io.gitlab.mateuszjaje:gitlab4s-tmp-sttp-try_2.13;io.gitlab.mateuszjaje;gitlab4s-tmp-sttp-try_2.13
io.gitlab.mateuszjaje:gitlab4s-tmp-sttp_2.12;io.gitlab.mateuszjaje;gitlab4s-tmp-sttp_2.12
io.gitlab.mateuszjaje:gitlab4s-tmp-sttp_2.13;io.gitlab.mateuszjaje;gitlab4s-tmp-sttp_2.13
io.gitlab.mateuszjaje:gitlab4s-tmp-core_2.12;io.gitlab.mateuszjaje;gitlab4s-tmp-core_2.12
io.gitlab.mateuszjaje:gitlab4s-tmp-core_2.13;io.gitlab.mateuszjaje;gitlab4s-tmp-core_2.13
org.solidcoding:solidcoding-validation;org.solidcoding;solidcoding-validation
com.wudaosoft:httpclient-spring-boot-starter;com.wudaosoft;httpclient-spring-boot-starter
com.wudaosoft:resterror-spring-boot-starter;com.wudaosoft;resterror-spring-boot-starter
com.wudaosoft:wudaosoft-spring-boot-autoconfigure;com.wudaosoft;wudaosoft-spring-boot-autoconfigure
com.wudaosoft:wudaosoft-spring-boot-parent;com.wudaosoft;wudaosoft-spring-boot-parent
com.wudaosoft:wudaosoft-commons;com.wudaosoft;wudaosoft-commons
com.wudaosoft:wudaosoft-httpclient;com.wudaosoft;wudaosoft-httpclient
io.github.underwindfall:powerpermission-rxjava3;io.github.underwindfall;powerpermission-rxjava3
io.github.underwindfall:powerpermission-rxjava2;io.github.underwindfall;powerpermission-rxjava2
io.github.underwindfall:powerpermission-livedata;io.github.underwindfall;powerpermission-livedata
io.github.underwindfall:powerpermission-coroutines;io.github.underwindfall;powerpermission-coroutines
io.github.underwindfall:powerpermission;io.github.underwindfall;powerpermission
com.gravitondigital.app:azureadidprovider;com.gravitondigital.app;azureadidprovider
net.almson:almson-refcount;net.almson;almson-refcount
de.customed:plugin-api;de.customed;plugin-api
org.jboss.openjdk-orb:openjdk-orb-jakarta;org.jboss.openjdk-orb;openjdk-orb-jakarta
org.jboss.openjdk-orb:openjdk-orb-parent;org.jboss.openjdk-orb;openjdk-orb-parent
com.aliyun:cr20160607;com.aliyun;cr20160607
com.yandex.yoctodb:yoctodb-benchmark;com.yandex.yoctodb;yoctodb-benchmark
com.yandex.yoctodb:yoctodb-core;com.yandex.yoctodb;yoctodb-core
com.yandex.yoctodb:yoctodb-parent;com.yandex.yoctodb;yoctodb-parent
org.revenj:revenj-spring;org.revenj;revenj-spring
org.revenj:revenj-servlet;org.revenj;revenj-servlet
org.revenj:revenj-core;org.revenj;revenj-core
org.revenj:revenj-storage;org.revenj;revenj-storage
org.webjars.npm:vue-pdf;org.webjars.npm;vue-pdf
org.webjars.npm:vue-resize-sensor;org.webjars.npm;vue-resize-sensor
org.webjars.npm:raw-loader;org.webjars.npm;raw-loader
org.webjars.npm:pdfjs;org.webjars.npm;pdfjs
org.webjars.npm:opentype.js;org.webjars.npm;opentype.js
net.emustudio:edigen-maven-plugin;net.emustudio;edigen-maven-plugin
com.twobuffers.wire:wire-android-utils;com.twobuffers.wire;wire-android-utils
io.github.sobhanAhmadian.GameLibrary:SimpleGameLibrary;io.github.sobhanAhmadian.GameLibrary;SimpleGameLibrary
com.cloudogu.spotter:spotter;com.cloudogu.spotter;spotter
com.cloudogu.spotter:spotter-core;com.cloudogu.spotter;spotter-core
com.cloudogu.spotter:spotter-maven-plugin;com.cloudogu.spotter;spotter-maven-plugin
com.theonlytails:lootgoblin;com.theonlytails;lootgoblin
io.github.reugn:kotlin-backoff;io.github.reugn;kotlin-backoff
com.intellectualsites.rorledning:Rorledning;com.intellectualsites.rorledning;Rorledning
com.target2sell.library:mobile-multiplatform-lib;com.target2sell.library;mobile-multiplatform-lib
org.webjars.npm:vue__ref-transform;org.webjars.npm;vue__ref-transform
io.datalbry.confluence:confluence-client-api;io.datalbry.confluence;confluence-client-api
io.datalbry.confluence:confluence-client;io.datalbry.confluence;confluence-client
com.readonlydev:interstellar;com.readonlydev;interstellar
com.aliyun:alibabacloud-fc_open20210406-async;com.aliyun;alibabacloud-fc_open20210406-async
cn.humingfeng:dynamic-datasource-spring-boot-starter;cn.humingfeng;dynamic-datasource-spring-boot-starter
fr.loghub:netty-beats;fr.loghub;netty-beats
com.sandinh:couchbase-scala_2.11;com.sandinh;couchbase-scala_2.11
com.sandinh:couchbase-play_2_6_2.11;com.sandinh;couchbase-play_2_6_2.11
com.sandinh:couchbase-play_2_7_2.11;com.sandinh;couchbase-play_2_7_2.11
com.sandinh:couchbase-scala_3;com.sandinh;couchbase-scala_3
dev.applibgroup:wearablereply;dev.applibgroup;wearablereply
dev.applibgroup:textwithimagedrawable;dev.applibgroup;textwithimagedrawable
dev.applibgroup:textviewoverflowing;dev.applibgroup;textviewoverflowing
dev.applibgroup:kitkatemoji;dev.applibgroup;kitkatemoji
dev.applibgroup:circularviewpager;dev.applibgroup;circularviewpager
dev.applibgroup:circleseekbar;dev.applibgroup;circleseekbar
dev.applibgroup:base;dev.applibgroup;base
club.easy-utils:easy-weprogram;club.easy-utils;easy-weprogram
io.github.meanvalue:LanMapping-spring-boot-starter;io.github.meanvalue;LanMapping-spring-boot-starter
org.jvnet.jaxb2_commons:jaxb2-namespace-prefix;org.jvnet.jaxb2_commons;jaxb2-namespace-prefix
io.github.jiangeeq:jpIdem-core;io.github.jiangeeq;jpIdem-core
io.github.jiangeeq:jpIdem-job;io.github.jiangeeq;jpIdem-job
io.github.jiangeeq:jpIdem-serializer-jackson2;io.github.jiangeeq;jpIdem-serializer-jackson2
io.github.jiangeeq:jpIdem-serializer-gson;io.github.jiangeeq;jpIdem-serializer-gson
io.github.jiangeeq:jpIdem-spring4;io.github.jiangeeq;jpIdem-spring4
io.github.jiangeeq:jpIdem-samples;io.github.jiangeeq;jpIdem-samples
io.github.jiangeeq:jpIdem-serializer;io.github.jiangeeq;jpIdem-serializer
io.github.jiangeeq:jpIdem-serializer-fastjson;io.github.jiangeeq;jpIdem-serializer-fastjson
xyz.xuminghai:aliyundrive-client-spring-boot-starter;xyz.xuminghai;aliyundrive-client-spring-boot-starter
io.opentelemetry:opentelemetry-api-metrics;io.opentelemetry;opentelemetry-api-metrics
io.github.meanvalue.lanmapping:LanMapping-spring-boot-starter;io.github.meanvalue.lanmapping;LanMapping-spring-boot-starter
io.github.seuicapp:misc;io.github.seuicapp;misc
io.vacco.scopicro.initramfs:io.vacco.scopicro.initramfs.gradle.plugin;io.vacco.scopicro.initramfs;io.vacco.scopicro.initramfs.gradle.plugin
com.ibm.cloud:notifications;com.ibm.cloud;notifications
com.gitee.baapeng:knife-util;com.gitee.baapeng;knife-util
org.glavo:log4j-patch;org.glavo;log4j-patch
io.github.keguoyu:zhmvp;io.github.keguoyu;zhmvp
com.liferay:com.liferay.screens.api;com.liferay;com.liferay.screens.api
com.baudoliver7:ool-survey;com.baudoliver7;ool-survey
com.liferay:com.liferay.mobile.device.rules.api;com.liferay;com.liferay.mobile.device.rules.api
io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.web:gw-web-utils;io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.web;gw-web-utils
io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core:gw-core-uuid-utils;io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core;gw-core-uuid-utils
io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.web:gw-web-converter;io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.web;gw-web-converter
io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.web:gw-web-servlet;io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.web;gw-web-servlet
io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core:gw-core-lang-utils;io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core;gw-core-lang-utils
io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core:gw-core-reflection-utils;io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core;gw-core-reflection-utils
io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core:gw-core-tree-utils;io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core;gw-core-tree-utils
io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core:gw-core-date-utils;io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core;gw-core-date-utils
io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core:gw-core-enum-utils;io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core;gw-core-enum-utils
io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core:gw-core-codec-utils;io.geewit.utils.core.gw-core-codec-utils.2.0.38.io.geewit.utils.core;gw-core-codec-utils
cn.surcode:redis-lock-spring-boot-starter;cn.surcode;redis-lock-spring-boot-starter
com.eelot:easy-glide;com.eelot;easy-glide
org.opensmarthouse.ui.features:org.opensmarthouse.ui.features;org.opensmarthouse.ui.features;org.opensmarthouse.ui.features
org.opensmarthouse.ui.bom:org.opensmarthouse.ui.bom.opensmarthouse-ui;org.opensmarthouse.ui.bom;org.opensmarthouse.ui.bom.opensmarthouse-ui
org.opensmarthouse.ui.bom:org.opensmarthouse.ui.reactor.bom;org.opensmarthouse.ui.bom;org.opensmarthouse.ui.reactor.bom
org.opensmarthouse.ui.bundles:org.opensmarthouse.ui;org.opensmarthouse.ui.bundles;org.opensmarthouse.ui
org.opensmarthouse.ui.bundles:org.opensmarthouse.ui.reactor.bundles;org.opensmarthouse.ui.bundles;org.opensmarthouse.ui.reactor.bundles
org.opensmarthouse.ui:org.opensmarthouse.ui.reactor;org.opensmarthouse.ui;org.opensmarthouse.ui.reactor
com.asikatechnologies:library;com.asikatechnologies;library
org.plutext:jaxb-svg11;org.plutext;jaxb-svg11
fr.jcgay.maven:jcgay-build-configuration;fr.jcgay.maven;jcgay-build-configuration
io.slugstack.oss:slugstack-publishing-test;io.slugstack.oss;slugstack-publishing-test
org.plutext:jaxb-xslfo;org.plutext;jaxb-xslfo
io.redskap:swagger-brake-gradle;io.redskap;swagger-brake-gradle
com.github.tomasmikula:nutcracker_2.13;com.github.tomasmikula;nutcracker_2.13
org.apache.sling:org.apache.sling.commons.messaging.mail;org.apache.sling;org.apache.sling.commons.messaging.mail
org.webjars.bowergithub.wisvch:bootstrap-theme;org.webjars.bowergithub.wisvch;bootstrap-theme
com.rtbhouse:kafka-workers;com.rtbhouse;kafka-workers
org.joinedworkz.profile:org.joinedworkz.profile.web;org.joinedworkz.profile;org.joinedworkz.profile.web
org.joinedworkz.profile:org.joinedworkz.profile.ui;org.joinedworkz.profile;org.joinedworkz.profile.ui
org.joinedworkz.profile:org.joinedworkz.profile.ide;org.joinedworkz.profile;org.joinedworkz.profile.ide
org.joinedworkz.profile:org.joinedworkz.profile.tests;org.joinedworkz.profile;org.joinedworkz.profile.tests
org.joinedworkz.profile:org.joinedworkz.profile.feature;org.joinedworkz.profile;org.joinedworkz.profile.feature
org.joinedworkz.profile:org.joinedworkz.profile.ui.tests;org.joinedworkz.profile;org.joinedworkz.profile.ui.tests
de.vinado.boot:spring-boot-starter-dkim-javamail;de.vinado.boot;spring-boot-starter-dkim-javamail
de.vinado.boot:spring-boot-autoconfigure-dkim-javamail;de.vinado.boot;spring-boot-autoconfigure-dkim-javamail
de.vinado.spring:dkim-javamail;de.vinado.spring;dkim-javamail
de.vinado.boot:spring-boot-dkim-javamail;de.vinado.boot;spring-boot-dkim-javamail
com.hurryyu.android:best-chooser;com.hurryyu.android;best-chooser
eu.xenit.contentcloud:rego-java;eu.xenit.contentcloud;rego-java
eu.xenit.contentcloud:opa-async-java-client;eu.xenit.contentcloud;opa-async-java-client
com.rbkmoney:fraudbusters-notificator-proto;com.rbkmoney;fraudbusters-notificator-proto
com.rbkmoney:dominant-cache-proto;com.rbkmoney;dominant-cache-proto
com.palantir.remoting3:http-clients;com.palantir.remoting3;http-clients
com.github.atool:form-service-meta;com.github.atool;form-service-meta
com.seepine:esign-sdk;com.seepine;esign-sdk
com.aliyun:aliyun-java-sdk-linkwan;com.aliyun;aliyun-java-sdk-linkwan
cn.ac.xxw:xxw-rsa;cn.ac.xxw;xxw-rsa
io.github.xpc1024:easy-es-boot-stater;io.github.xpc1024;easy-es-boot-stater
com.webank:key-mini-toolkit;com.webank;key-mini-toolkit
top.openyuan:fast-swagger;top.openyuan;fast-swagger
cn.tenmg:sparktool;cn.tenmg;sparktool
com.gitlab.samarkand-nomad:nomad-cbec-limit-cli;com.gitlab.samarkand-nomad;nomad-cbec-limit-cli
io.gitee.Bowen-Lee:bowen-sdk-rsa;io.gitee.Bowen-Lee;bowen-sdk-rsa
com.agorapulse.testing:spock;com.agorapulse.testing;spock
com.agorapulse.testing:office-unit;com.agorapulse.testing;office-unit
com.agorapulse.testing:grails-job-testing-support;com.agorapulse.testing;grails-job-testing-support
com.agorapulse.testing:fixt;com.agorapulse.testing;fixt
com.github.fluorumlabs:asciidocj;com.github.fluorumlabs;asciidocj
com.rbkmoney:service-parent-pom;com.rbkmoney;service-parent-pom
com.trackingio:tkio;com.trackingio;tkio
cn.org.thinkcloud:think-cloud-starter-id;cn.org.thinkcloud;think-cloud-starter-id
cn.org.thinkcloud:think-cloud-starter-controller;cn.org.thinkcloud;think-cloud-starter-controller
cn.org.thinkcloud:think-cloud-starter-manager;cn.org.thinkcloud;think-cloud-starter-manager
cn.org.thinkcloud:think-cloud-starter-business;cn.org.thinkcloud;think-cloud-starter-business
cn.org.thinkcloud:think-cloud-starter-repository;cn.org.thinkcloud;think-cloud-starter-repository
cn.org.thinkcloud:think-cloud-starter-dubbo;cn.org.thinkcloud;think-cloud-starter-dubbo
cn.org.thinkcloud:think-cloud-starter-configuration;cn.org.thinkcloud;think-cloud-starter-configuration
cn.org.thinkcloud:think-cloud-commons;cn.org.thinkcloud;think-cloud-commons
cn.org.thinkcloud:think-cloud-starters;cn.org.thinkcloud;think-cloud-starters
cn.org.thinkcloud:think-cloud;cn.org.thinkcloud;think-cloud
cn.org.thinkcloud:think-cloud-build;cn.org.thinkcloud;think-cloud-build
cn.org.thinkcloud:think-cloud-dependencies;cn.org.thinkcloud;think-cloud-dependencies
com.rbkmoney:java-service-dependencies;com.rbkmoney;java-service-dependencies
com.kerbaya:jee8-parent;com.kerbaya;jee8-parent
com.kerbaya:jse8-parent;com.kerbaya;jse8-parent
org.bouncycastle:bcjmail-jdk15on;org.bouncycastle;bcjmail-jdk15on
com.github.jinahya:org-ehcache-v3-bind-jakarta;com.github.jinahya;org-ehcache-v3-bind-jakarta
io.github.gcdd1993:kotlin-noarg;io.github.gcdd1993;kotlin-noarg
com.aliyun:adp_hub20211125;com.aliyun;adp_hub20211125
com.hushaorui:redisorm;com.hushaorui;redisorm
com.talkinggenie:talkinggenie-sdk-tts;com.talkinggenie;talkinggenie-sdk-tts
com.talkinggenie:talkinggenie-sdk-asr;com.talkinggenie;talkinggenie-sdk-asr
com.talkinggenie:talkinggenie-sdk-bom;com.talkinggenie;talkinggenie-sdk-bom
com.talkinggenie:talkinggenie-sdk-voiceprint;com.talkinggenie;talkinggenie-sdk-voiceprint
com.talkinggenie:talkinggenie-sdk-rft;com.talkinggenie;talkinggenie-sdk-rft
com.talkinggenie:talkinggenie-sdk-token;com.talkinggenie;talkinggenie-sdk-token
com.talkinggenie:talkinggenie-sdk-common;com.talkinggenie;talkinggenie-sdk-common
com.talkinggenie:talkinggenie-sdk-ba;com.talkinggenie;talkinggenie-sdk-ba
com.talkinggenie:talkinggenie-sdk-parent;com.talkinggenie;talkinggenie-sdk-parent
com.talkinggenie:talkinggenie-sdk-fullduplex;com.talkinggenie;talkinggenie-sdk-fullduplex
com.aliyun:imagesearch20210120;com.aliyun;imagesearch20210120
com.hurryyu.android:cornerlayout;com.hurryyu.android;cornerlayout
com.github.seeseemelk:MockBukkit-v1.17;com.github.seeseemelk;MockBukkit-v1.17
org.scalameta:metac_2.13.7;org.scalameta;metac_2.13.7
org.http4s:http4s-dom_sjs1_2.12;org.http4s;http4s-dom_sjs1_2.12
com.shapesecurity.shift:es2017;com.shapesecurity.shift;es2017
xyz.cofe:trambda-tcp;xyz.cofe;trambda-tcp
org.apache.httpcomponents:httpasyncclient-osgi;org.apache.httpcomponents;httpasyncclient-osgi
org.apache.httpcomponents:httpasyncclient-cache;org.apache.httpcomponents;httpasyncclient-cache
org.apache.httpcomponents:httpasyncclient;org.apache.httpcomponents;httpasyncclient
org.apache.httpcomponents:httpcomponents-asyncclient;org.apache.httpcomponents;httpcomponents-asyncclient
org.http4s:http4s-client_sjs1_2.12;org.http4s;http4s-client_sjs1_2.12
org.http4s:http4s-boopickle_sjs1_2.12;org.http4s;http4s-boopickle_sjs1_2.12
org.http4s:http4s-ember-core_sjs1_2.12;org.http4s;http4s-ember-core_sjs1_2.12
org.http4s:http4s-ember-client_sjs1_2.12;org.http4s;http4s-ember-client_sjs1_2.12
org.http4s:http4s-jawn_sjs1_2.12;org.http4s;http4s-jawn_sjs1_2.12
org.http4s:http4s-dsl_sjs1_2.12;org.http4s;http4s-dsl_sjs1_2.12
org.http4s:http4s-ember-server_sjs1_2.12;org.http4s;http4s-ember-server_sjs1_2.12
org.http4s:http4s-laws_sjs1_2.12;org.http4s;http4s-laws_sjs1_2.12
org.http4s:http4s-node-serverless_sjs1_2.12;org.http4s;http4s-node-serverless_sjs1_2.12
org.http4s:http4s-tomcat-server_2.12;org.http4s;http4s-tomcat-server_2.12
org.http4s:http4s-circe_sjs1_2.12;org.http4s;http4s-circe_sjs1_2.12
